route_id,route_name_fr,zone_type,combat_enabled,pokemon_id,pokemon_name_en,pokemon_name_fr,spawn_weight,min_level,max_level,methods
johto_route_29,Route 29 (Johto),route,true,165,ledyba,Coxy,30,4,5,headbutt_group_b
johto_route_29,Route 29 (Johto),route,true,161,sentret,Fouinette,70,2,4,walk
johto_route_29,Route 29 (Johto),route,true,163,hoothoot,Hoothoot,50,2,3,headbutt_group_a
johto_route_29,Route 29 (Johto),route,true,163,hoothoot,Hoothoot,50,4,5,headbutt_group_b
johto_route_29,Route 29 (Johto),route,true,163,hoothoot,Hoothoot,85,2,4,walk
johto_route_29,Route 29 (Johto),route,true,167,spinarak,Mimigal,30,4,5,headbutt_group_b
johto_route_29,Route 29 (Johto),route,true,102,exeggcute,Noeunoeuf,20,2,3,headbutt_group_a
johto_route_29,Route 29 (Johto),route,true,102,exeggcute,Noeunoeuf,20,4,5,headbutt_group_b
johto_route_29,Route 29 (Johto),route,true,204,pineco,Pomdepik,30,2,3,headbutt_group_a
johto_route_29,Route 29 (Johto),route,true,19,rattata,Rattata,23,2,4,walk
johto_route_29,Route 29 (Johto),route,true,16,pidgey,Roucool,55,2,4,walk
johto_route_30,Route 30 (Johto),route,true,13,weedle,Aspicot,85,3,4,walk
johto_route_30,Route 30 (Johto),route,true,10,caterpie,Chenipan,85,3,4,walk
johto_route_30,Route 30 (Johto),route,true,11,metapod,Chrysacier,25,4,4,walk
johto_route_30,Route 30 (Johto),route,true,14,kakuna,Coconfort,25,4,4,walk
johto_route_30,Route 30 (Johto),route,true,165,ledyba,Coxy,30,4,5,headbutt_group_b
johto_route_30,Route 30 (Johto),route,true,165,ledyba,Coxy,30,3,3,walk
johto_route_30,Route 30 (Johto),route,true,163,hoothoot,Hoothoot,50,2,3,headbutt_group_a
johto_route_30,Route 30 (Johto),route,true,163,hoothoot,Hoothoot,50,4,5,headbutt_group_b
johto_route_30,Route 30 (Johto),route,true,163,hoothoot,Hoothoot,45,3,4,walk
johto_route_30,Route 30 (Johto),route,true,129,magikarp,Magicarpe,40,20,20,good-rod
johto_route_30,Route 30 (Johto),route,true,129,magikarp,Magicarpe,85,10,10,old-rod
johto_route_30,Route 30 (Johto),route,true,129,magikarp,Magicarpe,20,40,40,super-rod
johto_route_30,Route 30 (Johto),route,true,167,spinarak,Mimigal,30,4,5,headbutt_group_b
johto_route_30,Route 30 (Johto),route,true,167,spinarak,Mimigal,30,2,2,walk
johto_route_30,Route 30 (Johto),route,true,102,exeggcute,Noeunoeuf,20,2,3,headbutt_group_a
johto_route_30,Route 30 (Johto),route,true,102,exeggcute,Noeunoeuf,20,4,5,headbutt_group_b
johto_route_30,Route 30 (Johto),route,true,204,pineco,Pomdepik,30,2,3,headbutt_group_a
johto_route_30,Route 30 (Johto),route,true,60,poliwag,Ptitard,60,20,20,good-rod
johto_route_30,Route 30 (Johto),route,true,60,poliwag,Ptitard,15,10,10,old-rod
johto_route_30,Route 30 (Johto),route,true,60,poliwag,Ptitard,80,40,40,super-rod
johto_route_30,Route 30 (Johto),route,true,60,poliwag,Ptitard,90,10,25,surf
johto_route_30,Route 30 (Johto),route,true,19,rattata,Rattata,40,3,4,walk
johto_route_30,Route 30 (Johto),route,true,16,pidgey,Roucool,75,2,4,walk
johto_route_30,Route 30 (Johto),route,true,61,poliwhirl,Têtarte,10,15,32,surf
johto_route_31,Route 31 (Johto),route,true,13,weedle,Aspicot,55,4,5,walk
johto_route_31,Route 31 (Johto),route,true,10,caterpie,Chenipan,35,4,5,walk
johto_route_31,Route 31 (Johto),route,true,69,bellsprout,Chétiflor,20,3,3,walk
